#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   54562.37911273          3.31          0.48       203.024        16.760       218.374       106.712
   54562.38662244          5.17          0.62        75.024       -13.371       349.100        76.646
   54562.38789162          3.92          0.56        97.501        11.290       327.060       101.291
   54562.39267689          5.57          1.13       305.857       -33.932       120.413        56.090
   54562.40477593          5.80          1.11       143.516       -38.279       287.171        51.684
   54562.42794822          5.73          0.53       310.767       -25.374       128.245        64.650
   54562.43975209          5.38          0.64       147.017       -22.059       296.282        67.903
   54562.44748175          3.11          1.17       115.220        -2.685       330.861        87.300
   54562.45725027          5.91          0.70       236.214       -43.870       213.355        46.100
   54562.46375598          3.38          1.79       343.547        17.572       108.419       107.609
   54562.46555080          3.39          0.81       263.345        19.803       189.271       109.788
   54562.48655258          5.71          0.42       262.551       -42.079       197.592        47.910
   54562.49397736          3.41          0.69        96.531        71.651         6.205       161.656
   54562.50563027          3.30          0.38        97.162        11.874         9.900       101.873
   54562.51852497          5.20          0.88       175.864       -11.793       295.858        78.162
   54562.52235273          5.82          0.31       162.868       -59.174       310.261        30.784
   54562.52703053          5.36          0.30       302.192       -20.351       172.591        69.667
   54562.54528968          5.29          0.97       316.322       -18.148       165.057        71.879
   54562.55871734          3.54          0.30       175.449        56.738       310.765       146.697
   54562.56145544          5.50          0.59       259.653       -27.000       227.546        62.988
   54562.56290846          5.34          1.10       115.190       -17.357        12.569        72.625
   54562.56951146          5.65          0.64       247.860       -35.157       242.241        54.823
   54562.57965194          3.55          0.51       314.870        14.609       178.933       104.633
   54562.58953782          5.82          1.08       271.769       -40.459       225.554        49.541
   54562.60591917          5.18          1.16       104.567       -16.135        38.719        73.854
   54562.60855463          5.85          0.97       136.830       -71.524         7.479        18.443
   54562.62264174          3.36          0.37       164.956         2.608       344.350        92.566
   54562.63219368          5.78          0.31       141.193       -54.837        11.600        35.127
   54562.63632476          5.26          0.49       309.528       -18.777       204.712        71.248
   54562.63790539          5.99          0.24       305.495       -52.500       209.282        37.525
   54562.64187713          5.79          0.28        26.638       -59.747       129.656        30.289
   54562.64944556          5.48          0.69       325.688       -20.393       193.292        69.639
   54562.65619209          5.38          0.54       272.108       -22.049       249.296        67.951
   54562.65913270          3.34          0.83        34.408        17.584       128.073       107.618
   54562.69606042          5.77          0.40       108.043       -58.154        67.834        31.828
