#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56043.42668248          4.95          0.20       266.067       -56.887       192.088        33.107
   56043.42980642          3.01          0.37       172.597         1.373       286.790        91.305
   56043.43207567          3.57          0.68       157.614         8.756       302.589        98.694
   56043.43562013          3.68          0.33       191.425        -7.962       270.059        81.970
   56043.43631948          2.80          0.93        97.525         8.414         4.211        98.408
   56043.43787051          5.04          0.20       163.056       -52.505       299.271        37.428
   56043.43997363          3.45          0.22         0.805        11.077       102.261       101.141
   56043.44059347          5.15          2.39       110.434       -15.870       352.871        74.107
   56043.44066385          2.89          1.58        43.428        46.688        59.844       136.738
   56043.44766546          3.04          1.18       239.794         0.774       226.040        90.736
   56043.45138618          4.95          0.36       136.346       -23.586       330.856        66.364
   56043.45487594          2.78          1.34        89.154        27.139        19.257       117.143
   56043.45761725          4.75          0.42       172.713       -62.703       296.731        27.227
   56043.46003123          4.08          0.27       226.826        -7.369       243.465        82.582
   56043.46118954          5.08          0.20        75.845       -66.702        35.033        23.314
   56043.46198082          2.99          0.68       330.514        27.644       140.513       117.697
   56043.46904367          2.93          0.75       170.235        28.236       303.309       118.172
   56043.47303501          5.22          0.27       115.244       -35.081       359.796        54.889
   56043.47357574          2.81          0.56        71.628         7.414        43.560        97.436
   56043.47369551          2.92          0.46       256.362         6.456       218.875        96.436
   56043.47371044          2.54          0.75       274.377        70.293       201.037       160.291
   56043.47436632          3.27          1.09        15.119         6.098       100.361        96.160
   56043.47745674          2.95          0.22       267.833        28.633       208.791       118.624
   56043.48065277          2.99          0.25       313.121         1.022       164.627        91.064
   56043.48583029          6.18          1.52       287.479       -39.891       192.081        50.128
   56043.48613503          4.73          0.21        18.083       -58.546       101.682        31.518
   56043.48650502          3.08          1.70        38.257        43.455        81.572       133.507
   56043.48925984          3.01          0.44       337.883        -0.442       142.973        89.616
   56043.49042578          2.93          0.29       192.996        22.877       288.279       112.812
   56043.49276204          3.18          0.66       308.288        51.549       173.895       141.583
   56043.49287517          3.13          0.83       356.910        25.773       125.255       115.835
   56043.49432807          5.25          0.39       240.595       -41.205       242.032        48.762
   56043.49462734          3.26          1.46       293.825        28.397       188.997       118.418
   56043.49562666          5.56          0.34       193.824       -36.905       289.311        53.028
   56043.49635244          4.98          0.29       324.132       -74.857       159.142        15.200
