#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57136.07162653          2.95          0.51       155.882        28.238       171.464       118.154
   57136.07223897          2.85          0.69         5.032        67.026       322.542       157.113
   57136.07487486          2.85          0.55       107.619        13.920       220.902       103.889
   57136.07571142          4.51          0.20       211.357       -18.438       117.464        71.484
   57136.07598898          2.88          1.14       327.598        26.862         1.370       116.936
   57136.07888549          5.34          0.20       317.105       -49.844        12.814        40.228
   57136.08003023          5.58          0.56       228.825       -67.993       101.388        21.950
   57136.08817126          2.47          0.68       205.478         7.569       127.863        97.487
   57136.09020459          5.33          0.22       359.886       -62.204       334.202        27.888
   57136.09227663          2.82          1.50       138.147        42.593       196.620       132.526
   57136.09669315          3.09          0.27       210.803        16.914       125.622       106.836
   57136.09785699          2.79          0.35        75.594        38.536       261.177       128.557
   57136.10189036          3.67          2.27        14.442        21.471       323.846       111.556
   57136.10353269          5.22          0.20        63.331       -34.945       275.618        55.091
   57136.10696709          3.30          0.64        58.119        11.129       281.996       101.174
   57136.10745463          3.39          0.44       130.425        66.077       209.722       156.021
   57136.10962101          5.37          0.20       249.033       -51.186        91.937        38.784
   57136.11299348          3.19          0.25        35.448        -6.401       306.864        83.670
   57136.11977399          4.29          0.20       327.987       -13.951        16.752        76.126
   57136.12041907          3.14          0.43       357.781         1.453       347.204        91.542
   57136.12160837          2.71          1.11       221.385        37.656       124.066       127.587
   57136.12418874          3.26          1.00       262.325         4.703        84.021        94.690
   57136.12475089          2.73          2.37       216.569         8.509       129.979        98.435
   57136.12893785          2.85          0.31       124.053         1.788       224.001        91.734
   57136.13330214          5.30          0.43        10.742       -39.903       338.911        50.186
   57136.13361094          5.67          0.20        70.784       -40.240       279.038        49.786
   57136.13398105          3.55          0.35        37.236        -8.560       312.655        81.510
   57136.13669108          2.96          0.40       268.863         5.540        81.998        95.536
   57136.14763558          2.55          1.01        37.028        42.508       317.735       132.578
   57136.15049417          2.96          1.11        30.853        25.337       324.968       115.412
   57136.15578315          3.04          0.21       228.855        58.632       128.994       148.571
   57136.15724296          5.48          0.46        95.395       -53.589       263.006        36.398
   57136.15738620          2.80          0.46       311.818        13.984        46.525       104.041
   57136.15845751          3.15          0.20       155.944        36.591       202.738       126.510
   57136.15999875          2.78          0.47        97.654        28.782       261.568       118.771
   57136.16135172          4.67          0.20       199.964       -30.709       159.769        59.204
   57136.16208164          3.08          0.42       247.936        15.909       112.104       105.873
   57136.16272605          3.12          2.04       198.527        16.816       161.730       106.729
   57136.16627866          2.95          2.06       218.375        -1.628       143.154        88.300
   57136.16667573          3.12          1.13        70.092        50.252       291.492       140.284
   57136.16765354          4.33          0.69       233.479       -67.931       128.360        22.016
   57136.16809704          2.91          2.46       239.100        53.984       123.191       143.935
   57136.17343726          2.97          0.62       209.829        13.640       154.297       103.559
   57136.17709109          2.73          0.44       242.194         1.396       123.242        91.352
   57136.17871002          3.38          2.87       254.649        40.030       111.442       130.002
   57136.18002139          2.81          0.63        50.472         1.558       316.029        91.613
