#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   55348.31443918          5.20          0.31       294.140       -20.950       158.580        69.069
   55348.31463350          3.24          0.49       162.093        -0.766       290.722        89.180
   55348.31595580          5.39          0.69       345.348       -34.378       107.932        55.678
   55348.31633030          3.29          0.81       238.037        -2.003       215.383        87.962
   55348.31639601          3.47          0.28       322.460        11.324       130.997       101.364
   55348.32501350          5.16          0.20        45.413       -52.319        51.205        37.726
   55348.32972903          3.21          0.45       115.618        25.933       342.625       115.914
   55348.33922523          5.12          0.23       295.533       -20.478       166.135        69.542
   55348.34294789          3.89          0.26       127.394         8.637       335.638        98.607
   55348.34388213          3.29          0.21       212.935        43.956       250.458       133.908
   55348.34558211          4.95          0.31        96.012       -11.544         7.992        78.454
   55348.34704880          3.60          0.48       209.695        -1.362       254.817        88.586
   55348.35021992          3.17          0.64       236.212        -3.854       229.441        86.110
   55348.35310628          4.38          0.39       294.880        21.608       171.840       111.626
   55348.35983994          3.18          0.78        96.998        16.092        12.125       106.089
   55348.36238145          3.50          0.43       268.210        32.263       201.870       122.255
   55348.36409296          3.27          0.30       338.304        33.324       132.381       123.370
   55348.36867692          3.59          1.59       303.497        56.629       168.895       146.652
   55348.37327552          3.71          0.36       144.686         2.534       329.298        92.491
   55348.38094524          3.30          0.34       346.454        -2.336       130.299        87.716
   55348.38478175          3.36          0.43       296.314        10.713       181.829       100.733
   55348.38736881          3.36          0.55        64.766         0.292        54.310        90.318
   55348.38906154          3.35          0.82       191.354        16.570       288.328       106.516
   55348.38946255          4.00          0.20       348.330         1.472       131.498        91.525
   55348.40343881          3.05          0.61       213.123        10.852       271.751       100.804
   55348.41502253          3.88          0.81       354.397        17.622       134.661       107.674
   55348.41961874          3.09          1.52       115.148        57.014        15.495       146.996
   55348.42618796          2.99          0.51       111.907         7.568        21.175        97.550
   55348.42922117          3.23          0.65       197.305        44.755       296.885       134.705
