#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56400.50709513          4.92          0.20       314.246       -26.519       164.885        63.530
   56400.52967061          4.51          0.43        66.127       -16.144        61.200        73.882
   56400.52985786          4.96          0.79       145.736       -20.735       341.649        69.204
   56400.54044310          5.11          0.20       333.504       -28.945       157.675        61.118
   56400.54871942          5.04          0.27       312.225       -33.462       181.923        56.587
   56400.55298581          3.43          0.24        67.556        -7.839        68.178        82.185
   56400.56396571          4.47          0.20       307.847       -16.870       191.822        73.173
   56400.56708328          5.15          0.27       128.928       -59.545        11.972        30.405
   56400.57059872          5.44          0.20       146.040       -30.728       356.059        59.209
   56400.57215883          4.20          0.22       263.035       -10.904       239.591        79.087
   56400.57347192          4.66          0.91        58.314       -67.566        84.960        22.467
   56400.57415109          4.25          0.20       115.238        -8.746        28.134        81.221
   56400.58872500          4.61          0.20       322.920       -18.172       185.691        71.884
   56400.58885084          3.53          0.26        16.338        -6.993       132.338        83.071
   56400.59760590          5.57          1.98       209.244       -30.360       302.557        59.578
   56400.59795190          5.02          0.20       184.993       -59.871       326.937        30.057
   56400.60279588          4.49          0.20       162.032       -17.413       351.672        72.517
   56400.61140537          5.03          0.20        71.608       -36.685        85.256        53.331
   56400.61694410          5.30          0.30        20.573       -36.475       138.262        53.588
   56400.63600852          5.30          0.22       104.291       -58.943        61.514        31.032
   56400.65516663          4.24          0.21       308.266       -15.014       224.327        75.032
   56400.65993758          5.17          0.37       327.987       -35.055       206.322        55.008
   56400.66973197          5.45          2.18        45.221       -40.850       132.696        49.194
   56400.68703764          4.95          0.25        52.602       -29.722       131.549        60.314
   56400.69036204          4.76          0.20       296.839       -36.222       248.428        53.816
   56400.70521080          5.14          1.66        13.726       -20.750       176.959        69.316
   56400.70962203          5.35          0.24       359.774       -27.762       192.499        62.309
   56400.71116895          5.05          0.20       179.053       -21.493        13.763        68.433
   56400.72529244          5.52          0.91       334.361       -30.328       223.549        59.739
   56400.73390579          4.45          0.20         6.327       -14.147       194.712        75.922
   56400.73577029          4.66          0.20        53.467       -27.582       148.274        62.453
   56400.75640953          3.74          0.20       348.044        -9.384       221.113        80.687
   56400.76307943          4.62          0.20       101.610       -13.813       109.970        76.163
   56400.76764551          5.44          0.27       154.673       -37.015        58.552        52.912
   56400.77071706          5.89          0.32       214.794       -40.788       359.478        49.155
   56400.77164986          4.20          0.20       237.906       -14.485       336.728        75.481
   56400.77641023          5.45          0.39       341.902       -34.680       234.465        55.392
   56400.80761117          4.85          0.20        48.721       -46.220       178.986        43.820
   56400.81146262          4.59          0.31       351.238       -83.310       237.790         6.767
