#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   56757.39178126          2.96          1.75       356.190        15.531        73.210       105.608
   56757.39954178          2.62          0.87       151.158        46.798       280.987       136.731
   56757.40133608          3.05          1.48       312.066         6.537       120.784        96.585
   56757.40361472          2.64          0.59       303.118        -2.022       130.544        88.017
   56757.40931672          3.54          1.60       354.959         5.216        80.769        95.292
   56757.41389928          5.04          2.95       170.520       -18.577       266.857        71.343
   56757.41577832          3.01          1.97       169.212        55.624       268.808       145.548
   56757.41803060          5.14          0.21       317.603       -42.978       121.216        47.080
   56757.41854303          2.50          1.24       196.205        12.269       242.847       102.191
   56757.41908574          2.86          0.39       272.777        22.117       166.501       112.114
   56757.42092421          2.76          0.90       151.056        47.378       288.807       137.312
   56757.42255325          3.12          0.51       325.275         5.769       115.233        95.829
   56757.42353266          2.69          1.34       202.382        68.415       238.526       158.341
   56757.42545829          5.68          0.20       182.894       -44.686       258.647        45.233
   56757.42577874          3.51          0.53        96.891        37.171       344.715       127.166
   56757.42700185          3.14          0.59       205.613        -1.595       236.487        88.331
   56757.42705341          2.86          0.62       158.371        51.207       283.709       141.136
   56757.43401940          3.00          1.22       342.411        10.269       102.237       100.340
   56757.43551830          2.72          2.27       306.611        53.456       138.659       143.495
   56757.43566741          3.08          0.75       146.962        29.953       298.243       119.889
   56757.43632090          5.35          0.20        38.955       -24.834        46.543        65.226
   56757.43916091          3.41          1.93       218.728        16.871       227.777       106.806
   56757.44385774          4.99          0.20       230.072       -41.770       218.061        48.178
   56757.44664763          5.07          0.42       140.894       -30.097       308.331        59.841
   56757.44714009          2.83          0.66       248.176        10.233       201.209       100.199
   56757.44878663          3.00          0.61       316.235        41.779       133.788       131.829
   56757.45418367          3.08          0.69       188.109        14.991       263.806       104.913
   56757.46077159          3.12          0.56       105.986        47.512       348.230       137.496
   56757.46114253          2.93          0.38       287.862        40.997       166.633       131.013
   56757.46261936          3.01          1.57       117.025        62.549       337.803       152.520
   56757.46595774          5.25          0.20       150.345       -62.142       305.893        27.787
   56757.46641578          3.20          0.21       165.852        16.066       290.472       105.990
   56757.46654230          2.73          1.88       126.078        12.393       330.287       102.349
   56757.47134214          2.84          0.54       343.334        71.477       114.864       161.547
   56757.47411424          2.80          0.37        97.742        61.540         1.233       151.535
   56757.47637411          3.17          0.60       217.539        27.834       242.408       117.769
   56757.47795140          4.17          0.38        17.894        -4.543        82.611        85.529
   56757.48168347          3.11          1.54        74.888        10.740        26.947       100.761
   56757.49134971          4.48          0.20       145.373       -20.121       319.975        69.814
   56757.49206681          2.86          0.46       218.430        27.423       247.182       117.359
   56757.49381935          2.80          1.52       265.709        64.922       200.674       154.909
   56757.50226793          3.08          1.99        47.846        17.852        61.418       107.903
   56757.50260067          3.03          0.79       184.665        -0.012       284.726        89.910
   56757.50533146          5.10          0.20       288.202       -26.160       182.144        63.862
   56757.51105115          2.90          0.44       357.162         2.978       115.290        93.052
   56757.51221292          4.05          0.45        13.646        -7.614        99.227        82.458
   56757.51517514          2.76          0.90       159.017        11.452       314.909       101.381
   56757.51828622          2.94          0.46        47.894         0.874        67.168        90.924
   56757.51925503          3.06          0.49       231.525        55.856       243.962       145.804
   56757.52418995          3.51          0.20       143.375         5.231       333.808        95.170
   56757.52621615          3.13          1.17       337.963        10.622       139.968       100.689
   56757.52623231          2.72          0.39       181.269        21.614       296.653       111.537
   56757.52764503          2.83          1.29        52.523        49.518        65.851       139.566
   56757.53003247          5.40          0.20       306.050       -46.695       173.185        43.351
   56757.53096789          2.98          0.77       223.690        16.617       255.956       106.559
   56757.53201866          5.80          0.20        29.021       -38.350        91.029        51.715
   56757.53613993          5.31          0.20       197.226       -34.116       284.256        55.810
   56757.53638789          3.03          0.35       170.663         4.889       310.924        94.813
   56757.53788735          3.26          0.52       169.188        37.718       312.929       127.644
   56757.54951250          3.57          0.90       286.794        35.248       199.587       125.265
   56757.55054932          2.89          1.52       322.512         6.956       164.201        97.013
   56757.55238742          3.02          0.69        95.396        21.996        31.944       111.989
   56757.55620767          2.76          1.17       173.777        29.503       314.960       119.428
   56757.55949356          5.82          0.23        39.834       -44.968        90.155        45.087
   56757.56473580          3.47          0.20       336.760        -9.652       155.065        80.415
   56757.56656890          3.00          1.18       338.392        40.934       154.125       131.000
   56757.56718397          2.76          1.56       155.577        68.915       337.043       158.849
   56757.56777667          3.01          1.36       192.091        30.879       300.836       120.805
   56757.57025072          2.96          0.62        83.627        29.759        50.150       119.767
   56757.57693392          3.15          1.67       174.850        40.213       321.368       130.138
   56757.58131833          4.62          0.20       127.270       -70.857        10.709        19.092
   56757.58399692          2.98          0.46        55.065         4.698        83.714        94.739
   56757.58663175          3.39          1.90       314.853        39.765       184.924       129.813
