#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   55694.99190986          4.55          0.20       242.625       -22.626        75.666        67.342
   55694.99825262          2.96          0.90       275.128        39.110        45.537       129.114
   55695.00023207          2.87          0.48        92.455         4.699       228.872        94.694
   55695.00081128          5.36          0.26        31.612       -37.973       289.962        52.087
   55695.00118166          2.89          0.44        58.038        -2.999       263.642        87.035
   55695.00165545          5.39          0.88        31.050       -51.019       290.846        39.042
   55695.00314914          4.54          0.20       159.842       -46.820       162.562        43.108
   55695.00676013          3.13          1.11       223.815        21.555        99.883       111.504
   55695.00746593          4.88          0.41       327.926       -42.962       355.980        47.101
   55695.00956064          3.04          0.21       144.730         8.266       179.960        98.207
   55695.01044076          3.03          1.68       284.392        -8.161        40.608        81.857
   55695.01413284          4.71          0.21       177.502       -32.332       148.842        57.594
   55695.01614655          5.47          2.40       204.168       -45.602       122.868        44.331
   55695.02024311          4.33          0.24       119.827       -21.750       208.752        68.212
   55695.02380829          3.25          0.23       344.914        -0.324       344.927        89.743
   55695.02388972          2.82          2.34        26.654        17.606       303.209       107.667
   55695.03309037          3.30          0.66       264.520        26.826        68.699       116.817
   55695.03391205          4.95          0.83        78.168       -35.584       255.374        54.428
   55695.03490824          3.13          0.61       210.488        12.525       123.361       102.463
   55695.03557887          3.30          0.43       188.658        -8.606       145.424        81.322
   55695.03659817          3.94          0.25       338.247       -20.043       356.200        70.023
   55695.03937551          5.00          0.54       305.042       -43.552        30.359        46.491
   55695.04355356          3.17          0.31       237.538         6.539        99.430        96.499
   55695.04476955          3.85          0.32       208.049       -13.967       129.344        75.969
   55695.04740808          2.99          0.53        47.319         9.744       291.035        99.790
   55695.04754699          5.19          0.59       307.545       -54.195        30.783        35.851
   55695.04828718          2.84          0.57       128.003        42.927       210.623       132.886
   55695.04890122          4.72          2.42       206.941       -35.693       131.927        54.242
   55695.05033591          4.02          1.34       210.524       -46.393       128.846        43.543
   55695.05091520          3.26          1.62       181.912        -9.152       157.708        80.775
   55695.05262844          4.98          0.29        27.311       -31.152       312.957        58.911
   55695.05274360          3.66          0.25       233.604         2.586       106.677        92.542
   55695.05295176          4.95          3.33       316.484       -24.630        23.852        65.422
   55695.05421347          3.98          0.35        37.203        -4.831       303.620        85.224
   55695.05674836          4.69          0.25       156.441       -62.348       185.341        27.582
   55695.05820700          2.96          0.94       292.138        31.892        50.156       121.914
   55695.06104220          4.35          0.66        35.906       -52.083       307.435        37.975
   55695.06414427          4.58          1.43       137.799        -2.048       206.603        87.899
   55695.06929416          2.75          0.76        39.692        19.487       306.557       109.540
   55695.07537067          3.35          0.41       231.658        24.374       116.813       114.328
   55695.07664396          5.10          2.13       247.802       -63.398       100.969        26.575
   55695.08309111          4.52          0.24       130.172       -62.875       221.177        27.075
   55695.08385522          4.92          0.27       324.599       -58.272        26.848        31.788
   55695.08401728          3.62          0.65       258.753         9.209        92.827        99.192
   55695.10576449          5.26          0.69       205.325       -58.319       154.045        31.614
   55695.11066073          2.67          0.37        95.129        30.645       266.025       120.642
   55695.11165527          4.97          0.50       177.033       -43.632       184.519        46.294
   55695.11591522          2.97          0.67       288.886         9.566        74.210        99.584
   55695.11658589          4.48          0.20       245.232       -42.767       118.033        47.201
   55695.11834542          3.33          0.21        17.778       -11.968       346.196        78.098
   55695.11910881          2.99          0.45       153.517        29.467       210.704       119.407
   55695.12091494          2.97          1.24        19.677        55.027       345.193       145.091
   55695.12262791          2.82          1.27        79.404        13.527       286.096       103.541
   55695.12268558          3.15          0.83       130.751        41.844       234.734       131.803
   55695.12564897          4.85          1.09       237.292       -32.081       129.268        57.878
   55695.12878569          3.09          2.89       133.118        31.089       234.586       121.045
   55695.12981536          2.60          0.98       229.054        51.565       139.107       141.516
   55695.13385466          4.51          0.20       337.334       -48.337        32.199        41.729
   55695.13461894          4.72          0.45       149.360       -57.717       220.539        32.219
   55695.13541694          4.67          0.75       101.295        -4.140       268.842        85.847
   55695.13678263          3.37          0.47       289.135         4.332        81.488        94.350
   55695.13810221          2.84          0.37       239.546         0.273       131.546        90.234
   55695.13848403          3.04          0.34       279.886        -1.857        91.343        88.151
   55695.14138956          3.13          0.28       227.485        21.263       144.813       111.213
   55695.14369271          4.55          0.20        97.033       -40.379       276.146        49.613
   55695.14605392          4.91          0.28       290.328       -39.843        83.581        50.180
   55695.15376182          5.10          0.31       171.318       -67.429       205.460        22.498
   55695.15608911          5.43          0.66       175.939       -39.690       201.655        50.237
   55695.15952594          3.09          0.22       300.951         9.111        77.887        99.141
   55695.15988481          3.13          1.37       244.834        21.021       134.144       110.987
   55695.16459499          4.71          0.49        71.638       -21.783       309.054        68.241
   55695.16907471          3.78          0.20       283.991       -32.046        98.240        57.968
   55695.16965279          4.53          0.20       230.992       -33.265       151.455        56.687
   55695.17040620          2.90          2.38        75.824        39.701       306.887       129.722
   55695.17092678          4.94          0.37       341.908       -65.651        40.987        24.417
   55695.17403978          5.14          1.53       198.226       -36.287       185.826        53.644
   55695.17682902          4.28          1.05       246.396        -3.778       138.672        86.190
   55695.18307978          4.90          0.32       144.994       -62.231       242.421        27.710
   55695.18673661          2.84          0.56        49.892        24.534       338.745       114.580
   55695.18744281          3.11          0.22       256.393       -10.283       132.498        79.695
   55695.18817228          2.97          0.40       125.394        12.214       263.767       102.178
   55695.18826391          3.21          2.09       309.590        32.130        79.648       122.166
   55695.19343804          2.57          2.29        13.652        55.894        17.410       145.957
   55695.19593848          5.13          0.28       325.567       -68.953        66.299        21.105
   55695.19773190          5.16          1.09       100.985       -42.572       291.705        47.416
   55695.20070671          3.18          0.37       130.943        15.991       262.739       105.950
   55695.20300936          2.81          0.57         1.422        79.226        33.139       169.290
   55695.20525503          5.48          1.09        85.095       -59.207       310.365        30.800
   55695.20620424          3.02          0.33       212.195        40.761       183.508       130.702
   55695.20686404          2.94          0.44       240.359        25.694       155.582       115.655
   55695.20976916          2.81          0.68       124.116        -1.929       272.856        88.036
   55695.21211841          3.26          0.56       129.267        11.111       268.540       101.072
   55695.21284770          3.57          0.48       271.262       -11.401       126.800        78.595
   55695.21302157          4.81          0.68       254.551       -71.023       143.390        18.956
   55695.21783635          4.03          1.10       278.274       -12.823       121.587        77.182
   55695.22182874          4.71          0.42       217.582       -38.670       183.703        51.272
   55695.22478043          2.89          0.69       235.162        22.930       167.241       112.886
   55695.22542887          3.99          1.84       268.541        17.131       134.096       107.123
   55695.23009350          3.00          1.67       224.563        13.783       179.746       103.730
   55695.23339128          4.64          0.20       308.720       -28.824        96.743        61.215
   55695.23539406          4.22          0.25       325.561       -25.043        80.638        65.010
   55695.23685220          2.80          1.11       114.989         8.633       291.749        98.609
   55695.23707176          3.00          0.87       340.458         1.387        66.368        91.447
   55695.24525541          2.84          0.65       244.297        -2.719       165.473        87.247
   55695.24652846          3.19          0.52       249.421        17.176       160.830       107.146
   55695.24679468          4.72          2.14       177.617       -27.084       232.717        62.847
   55695.24805645          3.08          0.57       163.915        48.162       246.845       138.103
   55695.25093838          2.96          2.21        89.248         3.381       322.582        93.386
   55695.25297494          4.02          0.20       207.068       -12.385       205.486        77.552
   55695.25334541          3.75          0.20        23.548       -14.712        29.160        75.350
   55695.25400495          2.90          0.40       267.093        10.357       145.851       100.347
   55695.25508116          5.76          0.60        80.371       -41.224       333.017        48.790
   55695.25555661          2.74          0.37       106.023        -3.536       307.481        86.450
   55695.25888940          5.58          0.48       138.894       -42.712       275.850        47.237
   55695.26309127          4.58          0.20       309.985       -72.737       106.055        17.306
   55695.26534816          2.68          1.97       187.375        66.272       229.654       156.209
   55695.26591440          2.66          1.73        93.613        32.181       323.586       122.183
   55695.26721131          2.90          0.45       136.476        42.870       281.184       132.829
   55695.27026707          2.83          1.05       102.765        49.848       315.971       139.841
   55695.27070627          3.28          0.77       160.668        -9.776       258.300        80.162
   55695.27392459          3.42          1.35       157.693        30.360       262.415       120.303
   55695.27785980          2.94          0.30       352.879        23.472        68.677       113.533
   55695.27854247          2.81          0.55       137.467         0.258       284.327        90.213
   55695.27871546          4.62          0.36        88.340       -25.462       333.552        64.542
   55695.27910905          3.29          0.54       102.851        28.614       319.116       118.606
   55695.27949098          4.50          0.28       260.159       -33.333       161.930        56.650
   55695.28185204          2.77          0.66        61.195        14.301         1.786       104.336
   55695.28494315          3.13          0.29        33.875        15.049        30.226       105.104
   55695.28645910          2.94          2.59       244.928        23.307       179.743       113.273
   55695.28689866          2.90          0.93       337.993        14.326        86.827       104.381
   55695.28995448          5.16          1.58       113.894       -54.510       312.111        35.464
   55695.29357687          2.97          0.73       231.414        14.931       195.814       104.885
   55695.30033654          5.26          0.91       208.945       -63.069       220.653        26.870
   55695.30194457          3.01          2.06       312.177         9.651       118.073        99.688
   55695.30357666          3.04          0.52       232.734        21.796       198.110       111.752
   55695.30697993          4.82          0.31       176.513       -34.094       255.550        55.839
   55695.31134278          3.07          0.82        18.116         7.172        55.521        97.233
   55695.31409825          4.59          0.20        94.526       -18.268       340.129        71.729
   55695.31652853          4.94          0.33       300.314       -39.134       135.143        50.895
   55695.31782495          3.00          0.61        63.253       -27.563        12.757        62.469
   55695.31835704          3.00          3.06       255.314        55.815       180.932       145.792
   55695.32057978          3.00          0.65       181.506        10.749       255.459       100.684
   55695.32132017          4.21          0.20       273.358       -21.219       163.849        68.780
   55695.32178292          3.43          0.34       145.700        -9.642       291.710        80.306
   55695.32307932          4.95          0.23       339.327       -35.578        98.527        54.481
   55695.32828769          3.43          0.45        25.705        -9.819        54.056        80.239
   55695.33208424          2.95          0.24       276.526        -2.127       164.590        87.874
   55695.33403983          4.48          1.37       131.136       -41.009       310.738        48.948
   55695.34116934          4.47          0.31       123.147       -38.299       321.301        51.666
   55695.34241992          3.27          0.39       232.963        -6.127       211.879        83.830
   55695.34559043          3.22          0.24       161.606       -25.726       284.401        64.212
   55695.34810226          2.91          0.86       196.575        31.135       250.333       121.074
   55695.34981512          5.13          0.77        17.065       -20.733        70.468        69.328
   55695.35089199          2.96          0.21       222.719        -4.122       225.184        85.828
   55695.35204916          4.25          1.57        13.716       -16.131        74.621        73.930
   55695.35279016          2.83          3.56       225.243        55.144       223.404       145.097
   55695.35394728          4.87          0.31       349.579       -43.893        99.423        46.170
   55695.35490807          2.79          0.29       281.159        22.583       168.224       112.588
   55695.35510443          2.60          2.68       121.867        -3.008       327.570        86.961
   55695.35912053          3.04          0.67       253.993        -6.725       196.876        83.252
   55695.36046340          2.83          1.72       254.872        -4.229       196.485        85.749
   55695.36434101          2.95          0.66       244.144         3.466       208.620        93.433
   55695.36655200          3.19          0.41       350.306        14.711       103.265       104.769
   55695.37497742          3.08          0.61       311.068        -1.447       145.536        88.589
   55695.38149378          4.60          0.20       336.969       -42.559       121.965        47.499
   55695.39320617          2.92          0.43       323.168        37.172       140.048       127.215
   55695.39929448          2.90          0.95       206.838        64.933       258.586       154.879
   55695.40023148          2.82          0.79       111.494        57.980       354.140       147.964
   55695.40108809          2.88          0.22       216.379        16.344       249.657       106.292
   55695.40333439          3.44          0.97        90.093       -19.762        16.776        70.239
   55695.40532488          2.96          0.38        20.913        21.783        86.646       111.839
   55695.40599553          4.93          2.27       135.841       -67.571       332.073        22.382
   55695.40765086          2.72          0.70       356.846        49.259       111.567       139.316
   55695.40782421          2.94          0.63       212.341         7.552       256.121        97.497
   55695.40931720          4.30          0.78       262.287       -70.346       206.533        19.644
   55695.40956111          3.05          0.71        28.751        19.935        80.335       109.988
