#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57891.17694387          2.90          0.89       343.245        13.768        46.287       103.860
   57891.18095108          3.13          0.35       127.003        35.576       263.912       125.521
   57891.18877491          4.70          0.20       216.473       -23.266       177.292        66.652
   57891.19559995          3.02          3.26       176.624        31.430       219.626       121.334
   57891.19574583          3.26          0.38        42.288         4.950       354.022        95.023
   57891.19751580          6.33          2.58       138.169       -40.028       258.839        49.896
   57891.19841831          3.02          0.79       351.131        32.771        46.158       122.864
   57891.19856925          2.85          1.42       336.256        25.257        61.095       115.342
   57891.20001715          2.96          0.99       115.545        10.774       282.293       100.734
   57891.20303487          2.66          7.96       196.206        72.915       202.802       162.823
   57891.20657303          3.32          0.90       265.484        30.790       134.787       120.778
   57891.20780601          4.58          0.20        20.154       -44.012        20.546        46.082
   57891.20906190          4.90          0.20       347.854       -49.523        53.239        40.575
   57891.21021368          3.27          0.57       299.292        30.516       102.289       120.558
   57891.21155476          4.35          0.20       257.330       -25.631       144.636        64.345
   57891.22039293          3.85          1.27       126.532        57.780       278.553       147.728
   57891.22387097          4.89          0.23       331.935       -52.858        74.465        37.230
   57891.22598794          3.09          1.06       203.654        45.674       203.604       135.585
   57891.23338383          3.79          0.20       259.445        28.855       150.498       118.833
   57891.23537400          4.48          0.22       155.812       -62.014       254.882        27.894
   57891.23622785          2.88          0.63       341.777        18.016        69.159       108.104
   57891.24028424          3.06          0.50       283.565        56.239       128.958       146.255
   57891.24294646          2.84          1.06        22.440        54.777        30.868       144.864
   57891.25055068          3.13          1.59       188.080        31.443       228.016       121.349
   57891.25777120          3.02          0.53        82.065        23.662       336.600       113.678
   57891.25819471          5.45          0.20       203.345       -49.840       215.460        40.068
   57891.26281965          3.01          0.56        14.676        29.233        45.840       119.323
   57891.27164718          5.40          1.00       172.199       -64.592       251.540        25.308
   57891.27638152          4.41          0.20       352.914       -16.701        72.503        73.393
   57891.27654443          3.39          0.27       163.930        18.576       261.536       108.486
   57891.27947986          3.55          2.70        78.598        27.149       347.898       117.170
   57891.28291064          2.92          0.38       127.817         8.739       299.949        98.682
   57891.28595753          4.17          0.30        65.313        -9.973         3.583        80.068
   57891.28939352          4.74          0.35        77.227       -27.744       352.943        62.278
   57891.29280995          4.66          0.29       164.116       -36.794       267.253        53.112
   57891.29433369          4.51          0.20       204.728       -21.445       227.151        68.466
   57891.29561685          2.64          0.67       255.579        12.550       176.798       102.522
   57891.29797603          5.56          0.20        53.942       -39.455        19.341        50.603
   57891.30113227          4.85          0.20       124.507       -56.921       309.973        33.023
   57891.30176213          3.00          1.77       148.861        13.202       285.708       103.123
   57891.30302844          3.44          1.11       176.641        -1.245       258.395        88.659
   57891.30617172          5.27          0.28       340.911       -57.173        95.212        32.919
   57891.30852459          2.92          1.39       339.549        19.698        97.487       109.783
   57891.31142679          3.14          1.50        58.115        -0.785        19.961        89.266
   57891.31413885          2.88          0.35       341.859        56.854        97.241       146.937
   57891.31421993          3.01          1.39       295.584        54.157       143.608       144.191
   57891.31432796          4.77          0.46        70.040       -11.695         9.100        78.338
   57891.31633495          4.48          0.20        90.463       -14.058       349.407        75.943
   57891.31682957          2.84          0.48       222.802        19.141       217.234       109.070
   57891.32278433          5.02          0.26       229.448       -25.037       212.683        64.899
   57891.32328653          3.05          0.46        70.524        33.242        11.776       123.276
   57891.32449571          2.92          0.91       247.036        65.308       195.923       155.267
   57891.32650734          2.95          0.52       349.110        14.371        94.410       104.460
   57891.32861249          3.21          0.39       174.765        22.478       269.501       112.386
   57891.33376804          4.45          0.30        61.109       -83.493        25.774         6.554
   57891.33459310          4.38          0.20        55.362       -13.927        31.095        76.127
   57891.33747958          3.29          0.24       157.589        35.196       289.858       125.113
   57891.33965119          4.81          0.22        12.180       -33.409        76.094        56.683
   57891.34474942          4.68          0.20       135.638       -20.754       314.487        69.178
   57891.34950219          2.92          0.41        20.150        15.012        71.661       105.098
   57891.34968569          5.36          0.21       267.157       -47.090       184.617        42.904
   57891.34989116          4.64          0.34       153.078       -22.046       298.895        67.870
   57891.35017624          4.87          0.22       260.681       -35.273       191.305        54.709
   57891.35398543          2.94          0.43        98.223         4.815       355.206        94.803
   57891.35595277          3.20          0.40        99.066        -0.663       355.082        89.324
   57891.35727275          2.73          3.11        10.911        83.239        83.609       173.327
   57891.36786506          3.04          0.44        77.314        12.434        21.115       102.455
   57891.37914057          3.41          0.26        95.977        16.693         6.513       106.685
   57891.37962307          3.23          0.63       226.212         6.516       236.477        96.450
   57891.38200867          3.00          4.72       306.601        44.327       157.018       134.376
   57891.38534463          3.28          2.27       132.977        65.639       331.629       155.582
   57891.38684459          2.98          0.55        86.045        18.970        19.223       108.977
   57891.38995269          2.93          0.39        45.343        75.054        60.852       165.118
   57891.39259697          2.91          0.51       138.097        50.038       329.201       139.975
   57891.39292000          2.94          0.61        80.422        70.623        26.824       160.641
   57891.39659332          3.35          0.52       270.368        11.793       198.460       101.790
   57891.39814234          4.81          0.20       145.716       -26.559       323.683        63.363
   57891.39864326          2.79          1.27       134.871        56.576       334.585       146.516
   57891.39891328          2.86          0.53       246.326         3.024       223.323        92.985
   57891.40073904          2.93          0.41        77.723        -0.629        32.593        89.391
   57891.40314556          3.08          0.32       197.650        21.896       273.535       111.809
   57891.40592513          2.93          1.74        14.478        10.348        97.704       100.435
   57891.40635157          4.87          0.20       212.685       -22.177       259.626        67.744
   57891.41096177          5.05          0.32       333.277       -22.187       140.707        67.895
   57891.41188601          4.09          0.40       299.429       -10.226       174.888        79.817
   57891.41292891          2.97          5.18       320.543        10.609       154.178       100.676
   57891.41485188          2.76          0.30       121.744        20.490       353.634       110.444
   57891.41618515          3.43          0.39       118.941        67.216       356.761       157.177
   57891.41848830          3.14          0.54       217.270        -6.973       259.435        82.953
   57891.42221347          3.05          0.31        77.810        38.969        40.186       128.989
   57891.42262854          3.05          0.54       268.046        11.696       210.180       101.690
   57891.42263047          2.97          0.62       195.739        10.559       282.474       100.471
   57891.42935544          4.73          0.65       148.279       -21.364       332.380        68.556
   57891.43061159          2.68          1.62        44.357         7.112        76.734        97.175
   57891.43232458          2.95          1.31       320.366         7.811       161.353        97.878
   57891.43388046          2.93          0.41        56.018        62.231        66.125       152.281
   57891.43494957          3.14          1.17       310.736        28.663       171.959       118.718
   57891.43948176          4.96          0.20       303.622       -52.848       180.570        37.205
   57891.44647506          3.46          0.66       298.117        31.236       188.748       121.275
   57891.44648185          4.57          0.91       234.847       -76.083       251.653        13.865
   57891.44661434          3.11          0.37        72.562        80.162        53.840       170.190
   57891.44851692          2.87          1.14       353.451        10.353       134.111       100.441
   57891.44923516          2.98          0.34       348.363        38.867       139.470       128.952
   57891.45047426          3.01          0.52       180.171        22.426       308.090       112.336
   57891.46141130          2.97          1.25       293.967        70.937       198.474       160.970
   57891.46332554          3.07          0.60       242.630        22.419       250.300       112.377
   57891.46359774          2.90          0.72       237.586         2.855       255.414        92.806
   57891.46737029          2.79          0.23       136.928        48.865       357.367       138.801
   57891.46802251          2.95          0.94        33.407        35.166       101.162       125.239
   57891.46999887          2.84          0.46       178.131        49.357       317.174       139.270
   57891.47017925          3.24          0.89        34.246        33.276       101.103       123.347
   57891.47127687          3.20          0.40       332.685         3.131       163.091        93.211
