#     MJD[days]  log10(E/GeV)   AngErr[deg]       RA[deg]      Dec[deg]  Azimuth[deg]   Zenith[deg]
   57528.87234241          2.93          0.62       296.414        39.089       346.423       129.134
   57528.87408644          3.68          0.72       352.429        -3.112       290.977        86.981
   57528.87733405          2.97          1.59       262.432        17.035        22.168       107.028
   57528.87801159          2.98          0.23        51.371        22.266       233.424       112.318
   57528.87907391          3.05          0.90       255.736        59.652        29.617       149.633
   57528.87960696          3.02          0.29       244.072        -1.872        41.317        88.091
   57528.88107602          3.02          2.78        85.551        21.630       200.344       111.631
   57528.88298032          2.86          0.30       275.852        43.615        10.846       133.629
   57528.88697360          4.61          0.55       142.680       -79.481       145.664        10.434
   57528.88782259          2.95          0.29       104.226         2.107       184.138        92.077
   57528.89177737          4.73          0.21       165.478       -16.586       124.316        73.318
   57528.89193363          3.07          0.37       238.054        15.582        51.811       105.537
   57528.89422855          3.02          0.56         3.107         2.303       287.571        92.396
   57528.91361133          5.15          0.20       108.814       -60.976       189.025        28.984
   57528.91511437          4.83          0.20       216.299       -28.842        81.877        61.082
   57528.91623390          3.16          0.57       135.738        -1.175       162.884        88.751
   57528.92030110          3.10          0.76        56.978        45.844       243.031       135.890
   57528.93117328          2.76          0.28        12.352        46.174       291.638       136.263
   57528.94254551          3.88          0.20       336.874       -12.491       331.237        77.600
   57528.94473757          3.09          0.90       345.125        11.892       323.788       101.983
   57528.94675670          2.70          0.60       289.040        58.419        20.735       148.450
   57528.95144108          4.94          1.75       132.303       -62.685       179.160        27.242
   57528.95741196          2.92          0.33        89.422        79.497       223.571       169.495
   57528.95757469          3.12          0.44       207.782        33.559       105.787       123.477
   57528.96143358          2.63          0.59       158.045        44.742       156.858       134.654
   57528.96434376          2.85          0.67        86.508        56.752       229.341       146.754
   57528.97120036          2.82          0.55       167.465        53.391       150.971       143.300
   57528.98412559          3.24          0.20       179.053        -8.767       144.071        81.134
   57528.98637076          3.28          2.81       141.313        18.422       182.607       108.345
   57528.98843750          2.97          0.67        36.429         2.366       288.257        92.440
   57528.99243757          5.18          0.27       291.773       -32.034        34.295        58.007
   57528.99292763          3.22          2.70       139.754        48.204       186.485       138.132
   57528.99321381          2.69          0.86       234.386         1.694        92.018        91.639
   57528.99780535          2.84          0.56       108.643         6.632       219.415        96.597
   57528.99854458          2.87          0.45       188.006        27.069       140.331       116.975
   57528.99908920          4.83          2.43        15.135       -49.926       313.432        40.168
   57529.00211464          3.38          0.54        10.783         1.209       318.841        91.302
   57529.00254375          2.85          1.00       315.036        18.992        14.760       109.059
   57529.00280887          2.95          0.52       134.880        20.991       194.968       110.922
   57529.00414659          5.06          0.25        94.451       -61.108       236.086        28.878
   57529.00951484          2.79          0.59       216.325        -3.890       115.958        86.033
   57529.01017140          2.89          1.01       266.823        21.339        65.738       111.335
   57529.01049054          2.34          0.65       249.019         0.954        83.622        90.921
   57529.01089617          4.88          0.20        45.567       -38.519       287.286        51.546
   57529.01128751          2.90          0.93       103.951        14.821       228.960       104.795
   57529.01194108          2.67          5.05       129.105        45.509       203.992       135.449
   57529.01466515          3.20          0.44       246.410        24.925        87.777       114.887
   57529.01792339          4.92          0.20       240.251       -46.862        94.978        43.091
   57529.02103715          2.91          0.78        47.051         7.442       289.397        97.504
   57529.02293757          3.06          0.46       116.338         8.514       220.790        98.469
   57529.02498436          3.07          3.75       142.287        34.148       195.552       124.073
   57529.02786677          3.21          0.22       205.989        -5.695       132.919        84.218
   57529.02857979          2.72          0.57       280.657        72.990        58.811       163.006
   57529.02945671          5.05          0.25       149.277       -74.956       190.392        14.955
   57529.03623733          2.84          1.58        71.570        19.663       270.341       109.691
   57529.03890800          3.02          1.47       238.117        14.542       104.801       104.491
   57529.04108378          3.20          0.97       259.770        75.567        84.266       165.549
   57529.04285874          3.34          0.64       169.654        33.869       174.662       123.776
   57529.04342058          4.25          0.20       229.873       -19.182       114.627        70.756
   57529.04444685          4.44          0.20        96.073       -72.098       249.140        17.887
   57529.04470855          5.21          0.28       101.135       -24.693       243.909        65.284
   57529.04646184          4.76          0.20        91.103       -57.024       254.683        32.970
   57529.04701427          3.66          0.55       290.135        14.953        55.715       104.986
   57529.05057137          5.06          0.20       165.196       -49.306       181.942        40.596
   57529.05185247          3.19          0.81       248.497        17.614        99.101       107.579
   57529.05210244          2.96          2.82        20.082        80.469       327.403       170.555
   57529.05381170          2.94          0.57        22.225        54.853       326.012       144.938
   57529.06785141          3.01          1.30       178.038        66.584       175.301       156.492
   57529.06842788          2.40          0.87       228.128        18.454       125.449       108.390
   57529.06984052          3.20          1.02       353.302        -4.228         0.768        85.866
   57529.07184596          4.82          0.20        46.547       -37.680       308.307        52.386
   57529.07430280          5.75          0.20       276.427       -29.486        79.193        60.526
   57529.07662514          4.55          0.32       178.614       -14.784       177.902        75.118
   57529.08053561          2.90          0.89        36.236         5.886       321.693        95.961
   57529.08259785          2.96          0.56       339.917        -1.344        18.757        88.745
   57529.08998666          2.91          0.60        35.099         8.620       326.238        98.697
   57529.09325222          2.73          0.71       268.884        59.434        93.788       149.429
   57529.09325965          3.04          1.25       330.284         7.505        32.245        97.586
   57529.09365338          2.94          0.73       286.250        -1.342        76.408        88.684
   57529.10309963          3.17          0.60       100.857         8.329       265.208        98.311
   57529.11967311          3.25          2.40       314.291        13.496        57.782       103.560
   57529.12595411          5.05          0.20       335.810       -22.547        38.499        67.540
   57529.12890568          2.93          0.31       340.267        18.897        35.136       108.983
   57529.12926280          2.74          2.87        43.357        76.528       331.915       166.596
   57529.13147443          4.95          0.22       317.197       -30.031        59.081        60.040
   57529.13421875          2.79          0.68       111.442        42.892       265.789       132.860
   57529.13798918          3.20          1.14       244.943         4.480       133.728        94.437
   57529.13903522          2.86          1.57        28.715        13.248       350.326       103.330
   57529.14377890          3.04          1.44       253.669        10.220       127.102       100.190
   57529.14437339          3.02          0.42        62.753         2.505       318.223        92.548
   57529.15626753          3.18          0.47       224.476        20.755       160.811       110.686
   57529.15707507          2.75          1.31       113.445        40.281       272.045       130.247
   57529.16533990          3.13          2.05       331.927        18.826        56.632       108.905
   57529.16661068          3.49          1.63       292.951        21.331        96.081       111.363
