#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             2.00          2.20        -90.00        -73.74          0.00
             2.20          2.40        -90.00        -73.74          0.00
             2.40          2.60        -90.00        -73.74          0.00
             2.60          2.80        -90.00        -73.74          0.00
             2.80          3.00        -90.00        -73.74          0.00
             3.00          3.20        -90.00        -73.74          0.00
             3.20          3.40        -90.00        -73.74          0.00
             3.40          3.60        -90.00        -73.74          0.00
             3.60          3.80        -90.00        -73.74          0.00
             3.80          4.00        -90.00        -73.74          0.00
             4.00          4.20        -90.00        -73.74          0.00
             4.20          4.40        -90.00        -73.74          0.00
             4.40          4.60        -90.00        -73.74          0.00
             4.60          4.80        -90.00        -73.74          0.00
             4.80          5.00        -90.00        -73.74          0.00
             5.00          5.20        -90.00        -73.74          0.00
             5.20          5.40        -90.00        -73.74       1132.71
             5.40          5.60        -90.00        -73.74       2236.67
             5.60          5.80        -90.00        -73.74      12508.98
             5.80          6.00        -90.00        -73.74      35388.76
             6.00          6.20        -90.00        -73.74      86754.22
             6.20          6.40        -90.00        -73.74     198478.30
             6.40          6.60        -90.00        -73.74     376096.68
             6.60          6.80        -90.00        -73.74     544950.04
             6.80          7.00        -90.00        -73.74     830807.08
             7.00          7.20        -90.00        -73.74     993405.70
             7.20          7.40        -90.00        -73.74    1225245.80
             7.40          7.60        -90.00        -73.74    1415589.26
             7.60          7.80        -90.00        -73.74    1633582.75
             7.80          8.00        -90.00        -73.74    1671608.42
             8.00          8.20        -90.00        -73.74    1478340.89
             8.20          8.40        -90.00        -73.74    1226410.06
             8.40          8.60        -90.00        -73.74    1002361.48
             8.60          8.80        -90.00        -73.74     770998.95
             8.80          9.00        -90.00        -73.74     668672.51
             9.00          9.20        -90.00        -73.74     445932.32
             9.20          9.40        -90.00        -73.74     422873.57
             9.40          9.60        -90.00        -73.74     388628.31
             9.60          9.80        -90.00        -73.74     287076.56
             9.80         10.00        -90.00        -73.74     168835.56
             2.00          2.20        -73.74        -66.93          0.00
             2.20          2.40        -73.74        -66.93          0.00
             2.40          2.60        -73.74        -66.93          0.00
             2.60          2.80        -73.74        -66.93          0.00
             2.80          3.00        -73.74        -66.93          0.00
             3.00          3.20        -73.74        -66.93          0.00
             3.20          3.40        -73.74        -66.93          0.00
             3.40          3.60        -73.74        -66.93          0.00
             3.60          3.80        -73.74        -66.93          0.00
             3.80          4.00        -73.74        -66.93          0.00
             4.00          4.20        -73.74        -66.93          0.00
             4.20          4.40        -73.74        -66.93          0.00
             4.40          4.60        -73.74        -66.93          0.00
             4.60          4.80        -73.74        -66.93          0.00
             4.80          5.00        -73.74        -66.93          0.00
             5.00          5.20        -73.74        -66.93        126.73
             5.20          5.40        -73.74        -66.93       1484.98
             5.40          5.60        -73.74        -66.93       5634.01
             5.60          5.80        -73.74        -66.93      17953.87
             5.80          6.00        -73.74        -66.93      46651.61
             6.00          6.20        -73.74        -66.93     111364.50
             6.20          6.40        -73.74        -66.93     274237.52
             6.40          6.60        -73.74        -66.93     435115.00
             6.60          6.80        -73.74        -66.93     632455.13
             6.80          7.00        -73.74        -66.93     924251.32
             7.00          7.20        -73.74        -66.93    1098512.42
             7.20          7.40        -73.74        -66.93    1257085.98
             7.40          7.60        -73.74        -66.93    1506695.48
             7.60          7.80        -73.74        -66.93    1599262.76
             7.80          8.00        -73.74        -66.93    1833570.22
             8.00          8.20        -73.74        -66.93    1669699.59
             8.20          8.40        -73.74        -66.93    1223314.80
             8.40          8.60        -73.74        -66.93     942866.48
             8.60          8.80        -73.74        -66.93     700424.18
             8.80          9.00        -73.74        -66.93     355515.60
             9.00          9.20        -73.74        -66.93     410918.13
             9.20          9.40        -73.74        -66.93     402450.98
             9.40          9.60        -73.74        -66.93     263433.01
             9.60          9.80        -73.74        -66.93     179180.34
             9.80         10.00        -73.74        -66.93     234661.69
             2.00          2.20        -66.93        -61.64          0.00
             2.20          2.40        -66.93        -61.64          0.00
             2.40          2.60        -66.93        -61.64          0.00
             2.60          2.80        -66.93        -61.64          0.00
             2.80          3.00        -66.93        -61.64          0.00
             3.00          3.20        -66.93        -61.64          0.00
             3.20          3.40        -66.93        -61.64          0.00
             3.40          3.60        -66.93        -61.64          0.00
             3.60          3.80        -66.93        -61.64          0.00
             3.80          4.00        -66.93        -61.64          0.00
             4.00          4.20        -66.93        -61.64          0.00
             4.20          4.40        -66.93        -61.64          0.00
             4.40          4.60        -66.93        -61.64          0.00
             4.60          4.80        -66.93        -61.64          0.00
             4.80          5.00        -66.93        -61.64          0.00
             5.00          5.20        -66.93        -61.64        344.39
             5.20          5.40        -66.93        -61.64       1372.54
             5.40          5.60        -66.93        -61.64       9140.87
             5.60          5.80        -66.93        -61.64      18554.44
             5.80          6.00        -66.93        -61.64      52503.47
             6.00          6.20        -66.93        -61.64     132139.08
             6.20          6.40        -66.93        -61.64     301092.88
             6.40          6.60        -66.93        -61.64     508511.90
