#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             2.00          2.20        -90.00        -73.74          0.00
             2.20          2.40        -90.00        -73.74          0.00
             2.40          2.60        -90.00        -73.74          0.00
             2.60          2.80        -90.00        -73.74          0.01
             2.80          3.00        -90.00        -73.74          0.00
             3.00          3.20        -90.00        -73.74          0.00
             3.20          3.40        -90.00        -73.74          0.00
             3.40          3.60        -90.00        -73.74          0.00
             3.60          3.80        -90.00        -73.74          1.59
             3.80          4.00        -90.00        -73.74          0.00
             4.00          4.20        -90.00        -73.74          0.00
             4.20          4.40        -90.00        -73.74         38.72
             4.40          4.60        -90.00        -73.74        502.67
             4.60          4.80        -90.00        -73.74       2717.25
             4.80          5.00        -90.00        -73.74      12138.18
             5.00          5.20        -90.00        -73.74      38937.84
             5.20          5.40        -90.00        -73.74     104315.44
             5.40          5.60        -90.00        -73.74     220672.65
             5.60          5.80        -90.00        -73.74     408528.53
             5.80          6.00        -90.00        -73.74     638076.21
             6.00          6.20        -90.00        -73.74     913666.10
             6.20          6.40        -90.00        -73.74    1243496.42
             6.40          6.60        -90.00        -73.74    1688210.32
             6.60          6.80        -90.00        -73.74    2215859.74
             6.80          7.00        -90.00        -73.74    2860480.66
             7.00          7.20        -90.00        -73.74    3800378.78
             7.20          7.40        -90.00        -73.74    4596104.33
             7.40          7.60        -90.00        -73.74    5652470.16
             7.60          7.80        -90.00        -73.74    7048340.72
             7.80          8.00        -90.00        -73.74    8355601.97
             8.00          8.20        -90.00        -73.74    9995203.09
             8.20          8.40        -90.00        -73.74   11590898.75
             8.40          8.60        -90.00        -73.74   13776945.68
             8.60          8.80        -90.00        -73.74   16423822.51
             8.80          9.00        -90.00        -73.74   18607167.84
             9.00          9.20        -90.00        -73.74          0.00
             9.20          9.40        -90.00        -73.74          0.00
             9.40          9.60        -90.00        -73.74          0.00
             9.60          9.80        -90.00        -73.74          0.00
             9.80         10.00        -90.00        -73.74          0.00
             2.00          2.20        -73.74        -66.93          0.00
             2.20          2.40        -73.74        -66.93          0.00
             2.40          2.60        -73.74        -66.93          0.00
             2.60          2.80        -73.74        -66.93          0.00
             2.80          3.00        -73.74        -66.93          0.00
             3.00          3.20        -73.74        -66.93          0.00
             3.20          3.40        -73.74        -66.93          0.00
             3.40          3.60        -73.74        -66.93          0.17
             3.60          3.80        -73.74        -66.93          0.50
             3.80          4.00        -73.74        -66.93          0.82
             4.00          4.20        -73.74        -66.93          0.00
             4.20          4.40        -73.74        -66.93          4.08
             4.40          4.60        -73.74        -66.93         92.24
             4.60          4.80        -73.74        -66.93        717.63
             4.80          5.00        -73.74        -66.93       3825.51
             5.00          5.20        -73.74        -66.93      17123.13
             5.20          5.40        -73.74        -66.93      58416.18
             5.40          5.60        -73.74        -66.93     147069.83
             5.60          5.80        -73.74        -66.93     316056.77
             5.80          6.00        -73.74        -66.93     549391.74
             6.00          6.20        -73.74        -66.93     844107.69
             6.20          6.40        -73.74        -66.93    1208280.32
             6.40          6.60        -73.74        -66.93    1674857.16
             6.60          6.80        -73.74        -66.93    2228498.93
             6.80          7.00        -73.74        -66.93    2940557.96
             7.00          7.20        -73.74        -66.93    3891274.59
             7.20          7.40        -73.74        -66.93    4893096.13
             7.40          7.60        -73.74        -66.93    5971005.09
             7.60          7.80        -73.74        -66.93    7107192.57
             7.80          8.00        -73.74        -66.93    8749765.23
             8.00          8.20        -73.74        -66.93   10013178.29
             8.20          8.40        -73.74        -66.93   12948979.44
             8.40          8.60        -73.74        -66.93   14898807.91
             8.60          8.80        -73.74        -66.93   17039911.78
             8.80          9.00        -73.74        -66.93   20004762.40
             9.00          9.20        -73.74        -66.93          0.00
             9.20          9.40        -73.74        -66.93          0.00
             9.40          9.60        -73.74        -66.93          0.00
             9.60          9.80        -73.74        -66.93          0.00
             9.80         10.00        -73.74        -66.93          0.00
             2.00          2.20        -66.93        -61.64          0.00
             2.20          2.40        -66.93        -61.64          0.00
             2.40          2.60        -66.93        -61.64          0.00
             2.60          2.80        -66.93        -61.64          0.00
             2.80          3.00        -66.93        -61.64          0.02
             3.00          3.20        -66.93        -61.64          0.00
             3.20          3.40        -66.93        -61.64          0.00
             3.40          3.60        -66.93        -61.64          0.84
             3.60          3.80        -66.93        -61.64          0.00
             3.80          4.00        -66.93        -61.64          0.00
             4.00          4.20        -66.93        -61.64          0.00
             4.20          4.40        -66.93        -61.64          0.00
             4.40          4.60        -66.93        -61.64         32.30
             4.60          4.80        -66.93        -61.64        388.69
             4.80          5.00        -66.93        -61.64       2585.63
             5.00          5.20        -66.93        -61.64      11351.33
             5.20          5.40        -66.93        -61.64      44422.92
             5.40          5.60        -66.93        -61.64     130759.14
             5.60          5.80        -66.93        -61.64     273441.59
             5.80          6.00        -66.93        -61.64     514243.08
             6.00          6.20        -66.93        -61.64     808272.38
             6.20          6.40        -66.93        -61.64    1174504.29
             6.40          6.60        -66.93        -61.64    1689175.12
