#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             2.00          2.20        -90.00        -73.74          0.00
             2.20          2.40        -90.00        -73.74          0.00
             2.40          2.60        -90.00        -73.74          0.00
             2.60          2.80        -90.00        -73.74          0.00
             2.80          3.00        -90.00        -73.74          0.00
             3.00          3.20        -90.00        -73.74          0.00
             3.20          3.40        -90.00        -73.74          0.00
             3.40          3.60        -90.00        -73.74          0.00
             3.60          3.80        -90.00        -73.74          0.00
             3.80          4.00        -90.00        -73.74          0.00
             4.00          4.20        -90.00        -73.74          0.00
             4.20          4.40        -90.00        -73.74        351.26
             4.40          4.60        -90.00        -73.74       3280.22
             4.60          4.80        -90.00        -73.74       8971.34
             4.80          5.00        -90.00        -73.74      26572.45
             5.00          5.20        -90.00        -73.74      67474.74
             5.20          5.40        -90.00        -73.74     155474.43
             5.40          5.60        -90.00        -73.74     301646.11
             5.60          5.80        -90.00        -73.74     499757.67
             5.80          6.00        -90.00        -73.74     757022.75
             6.00          6.20        -90.00        -73.74    1061215.15
             6.20          6.40        -90.00        -73.74    1415989.07
             6.40          6.60        -90.00        -73.74    2033906.79
             6.60          6.80        -90.00        -73.74    2526824.00
             6.80          7.00        -90.00        -73.74    3117189.52
             7.00          7.20        -90.00        -73.74    4009730.70
             7.20          7.40        -90.00        -73.74    4829783.05
             7.40          7.60        -90.00        -73.74    6353185.25
             7.60          7.80        -90.00        -73.74    7602014.55
             7.80          8.00        -90.00        -73.74    9421122.13
             8.00          8.20        -90.00        -73.74   11625095.06
             8.20          8.40        -90.00        -73.74   13674660.06
             8.40          8.60        -90.00        -73.74   16093840.65
             8.60          8.80        -90.00        -73.74   20166929.78
             8.80          9.00        -90.00        -73.74   23260954.05
             9.00          9.20        -90.00        -73.74          0.00
             9.20          9.40        -90.00        -73.74          0.00
             9.40          9.60        -90.00        -73.74          0.00
             9.60          9.80        -90.00        -73.74          0.00
             9.80         10.00        -90.00        -73.74          0.00
             2.00          2.20        -73.74        -66.93          0.00
             2.20          2.40        -73.74        -66.93          0.00
             2.40          2.60        -73.74        -66.93          0.00
             2.60          2.80        -73.74        -66.93          0.00
             2.80          3.00        -73.74        -66.93          0.00
             3.00          3.20        -73.74        -66.93          0.00
             3.20          3.40        -73.74        -66.93          0.00
             3.40          3.60        -73.74        -66.93          0.00
             3.60          3.80        -73.74        -66.93          0.00
             3.80          4.00        -73.74        -66.93          0.00
             4.00          4.20        -73.74        -66.93          0.00
             4.20          4.40        -73.74        -66.93        231.95
             4.40          4.60        -73.74        -66.93       1830.45
             4.60          4.80        -73.74        -66.93       7489.75
             4.80          5.00        -73.74        -66.93      21537.87
             5.00          5.20        -73.74        -66.93      49183.11
             5.20          5.40        -73.74        -66.93     125089.53
             5.40          5.60        -73.74        -66.93     250316.88
             5.60          5.80        -73.74        -66.93     473999.19
             5.80          6.00        -73.74        -66.93     755012.45
             6.00          6.20        -73.74        -66.93    1085169.24
             6.20          6.40        -73.74        -66.93    1484605.80
             6.40          6.60        -73.74        -66.93    2029690.47
             6.60          6.80        -73.74        -66.93    2599457.62
             6.80          7.00        -73.74        -66.93    3275433.36
             7.00          7.20        -73.74        -66.93    4449955.40
             7.20          7.40        -73.74        -66.93    5427741.80
             7.40          7.60        -73.74        -66.93    6480586.09
             7.60          7.80        -73.74        -66.93    8357343.81
             7.80          8.00        -73.74        -66.93    9715767.90
             8.00          8.20        -73.74        -66.93   11491855.32
             8.20          8.40        -73.74        -66.93   13959091.55
             8.40          8.60        -73.74        -66.93   16703939.26
             8.60          8.80        -73.74        -66.93   19667921.38
             8.80          9.00        -73.74        -66.93   23198552.24
             9.00          9.20        -73.74        -66.93          0.00
             9.20          9.40        -73.74        -66.93          0.00
             9.40          9.60        -73.74        -66.93          0.00
             9.60          9.80        -73.74        -66.93          0.00
             9.80         10.00        -73.74        -66.93          0.00
             2.00          2.20        -66.93        -61.64          0.00
             2.20          2.40        -66.93        -61.64          0.00
             2.40          2.60        -66.93        -61.64          0.00
             2.60          2.80        -66.93        -61.64          0.00
             2.80          3.00        -66.93        -61.64          0.00
             3.00          3.20        -66.93        -61.64          0.00
             3.20          3.40        -66.93        -61.64          0.00
             3.40          3.60        -66.93        -61.64          0.00
             3.60          3.80        -66.93        -61.64          0.00
             3.80          4.00        -66.93        -61.64          0.00
             4.00          4.20        -66.93        -61.64          0.00
             4.20          4.40        -66.93        -61.64         44.77
             4.40          4.60        -66.93        -61.64       1741.59
             4.60          4.80        -66.93        -61.64       6046.47
             4.80          5.00        -66.93        -61.64      16846.81
             5.00          5.20        -66.93        -61.64      40844.38
             5.20          5.40        -66.93        -61.64     107411.21
             5.40          5.60        -66.93        -61.64     245957.49
             5.60          5.80        -66.93        -61.64     466962.56
             5.80          6.00        -66.93        -61.64     727928.63
             6.00          6.20        -66.93        -61.64    1091910.43
             6.20          6.40        -66.93        -61.64    1488038.42
             6.40          6.60        -66.93        -61.64    1976443.64
