#  MJD_start[days]  MJD_stop[days]
   55348.31179398   55348.62622685
   55348.62732638   55348.70802083
   55348.71002314   55348.83115740
   55348.83491487   55349.16891203
   55349.17002314   55349.50337962
   55349.50497685   55349.63168981
   55349.63373842   55349.96709490
   55349.96879629   55350.30215277
   55350.30380787   55350.63716435
   55350.63886574   55350.97223379
   55350.97384259   55351.30719907
   55351.30888888   55351.64224537
   55351.64394675   55351.97793981
   55351.97902777   55352.20770833
   55352.24160879   55352.57497685
   55352.81543981   55353.11878472
   55353.12046296   55353.20437500
   55353.24456018   55353.57848379
   55353.57956018   55353.91291666
   55353.91460648   55354.24796296
   55354.24960648   55354.58296296
   55354.58467592   55354.91803240
   55354.91967592   55355.25303240
   55355.25490740   55355.58826388
   55355.58986111   55355.92322916
   55355.92487268   55356.25876157
   55356.25990740   55356.59326388
   55356.59489583   55356.92825231
   55356.93131944   55357.26467592
   55357.26634259   55357.43328703
   55357.45381944   55357.58390046
   55357.58603009   55357.91938657
   55357.92104166   55358.25439814
   55358.25604166   55358.36995370
   55358.37665509   55358.66716435
   55358.66975694   55359.00381944
   55359.00490740   55359.33826388
   55359.33989583   55359.67325231
   55359.67498842   55360.00835648
   55360.00997685   55360.34333333
   55360.34520833   55360.67856481
   55360.68037037   55361.01372685
   55361.01542824   55361.34878472
   55361.35040509   55361.68376157
   55361.68574074   55362.01909722
   55362.02079861   55362.35415509
   55362.35585648   55362.51915509
   55362.78804398   55363.12141203
   55363.12312499   55363.45648148
   55363.45804398   55363.62431712
   55363.62731481   55363.96067129
   55363.96231481   55364.29567129
   55364.29736111   55364.35945601
   55364.37334490   55364.70670138
   55364.70837962   55365.04173611
   55365.04333333   55365.37724537
   55365.37831018   55365.71167824
   55365.71471064   55366.04807870
   55366.04974537   55366.38311342
   55366.38474537   55366.71811342
   55366.71978009   55367.05313657
   55367.05473379   55367.38865740
   55367.38974537   55367.72309027
   55367.72473379   55368.05809027
   55368.06113425   55368.39450231
   55368.39618055   55368.72953703
   55368.73113425   55369.06449074
   55369.06612268   55369.39947916
   55369.40106481   55369.73442129
   55369.73621527   55370.06957175
   55370.07140046   55370.40476851
   55370.40635416   55370.73971064
   55370.74137731   55371.07473379
   55371.07636574   55371.41021990
   55371.41137731   55371.74473379
   55371.74651620   55372.07987268
   55372.08149305   55372.41484953
   55372.41651620   55372.74987268
   55372.75288194   55372.77817129
   55373.25601851   55373.58937500
   55374.35554398   55374.68890046
   55374.69055555   55375.02391203
   55375.02554398   55375.35891203
   55375.36054398   55375.69390046
   55375.69552083   55376.02888888
   55376.03050925   55376.36387731
   55376.36575231   55376.69910879
   55376.70105324   55377.03440972
   55377.03667824   55377.16101851
   55377.16306712   55377.49707175
   55377.49842592   55377.53598379
   55377.53840277   55377.66075231
   55377.66893518   55378.00291666
   55378.33908564   55378.67245370
   55378.67420138   55379.00755787
   55379.00924768   55379.34261574
   55379.34429398   55379.62962962
   55379.63156249   55379.96491898
   55379.96653935   55380.29989583
   55380.30151620   55380.63487268
   55380.63646990   55380.96982638
   55380.97280092   55381.30616898
   55381.30776620   55381.64112268
   55381.64273148   55381.97671296
   55381.97787037   55382.31122685
   55382.31293981   55382.64630787
   55382.64793981   55382.98129629
   55382.98293981   55383.31629629
   55383.31790509   55383.65126157
   55383.65292824   55383.98677083
   55383.98783564   55384.32120370
   55384.32423611   55384.65759259
   55384.65932870   55384.99269675
   55385.28843749   55385.52518518
   55385.78381944   55386.11718749
   55386.11887731   55386.45223379
   55386.45386574   55386.78722222
   55386.79021990   55387.12357638
   55387.12540509   55387.45876157
   55387.46037037   55387.79373842
   55387.79540509   55388.11430555
   55388.14746527   55388.17650462
   55388.19944444   55388.53280092
   55388.53444444   55388.86781249
   55388.86944444   55389.20278935
   55389.20437500   55389.53773148
   55389.53939814   55389.87276620
   55389.87434027   55390.20769675
   55390.20930555   55390.54266203
   55390.54437499   55390.87774305
   55390.87939814   55391.21275462
   55391.21443287   55391.44626157
   55391.47667824   55391.81003472
   55391.81173611   55392.14510416
   55392.14672453   55392.48008101
   55392.48175925   55392.81512731
   55392.81673611   55393.10984953
   55393.11910879   55393.45246527
   55393.45447916   55393.78783564
   55393.79107638   55394.10790509
   55394.13738425   55394.47074074
   55394.47246527   55394.80582175
   55394.80760416   55395.14097222
   55395.14278935   55395.47615740
   55395.47937500   55395.81273148
   55395.81572916   55396.14975694
   55396.15092592   55396.48428240
   55396.48603009   55396.81938657
   55397.05174768   55397.12368055
   55397.12925925   55397.46262731
   55397.46438657   55397.79774305
   55397.79961805   55398.13297453
   55398.13622685   55398.46959490
   55398.47138888   55398.80474537
   55398.80651620   55399.13987268
   55399.14304398   55399.47641203
   55399.47819444   55399.81155092
   55399.81337962   55400.14673611
   55400.14851851   55400.24653935
