#  MJD_start[days]  MJD_stop[days]
   56757.39098379   56757.39800925
   56757.39864583   56757.73199074
   56757.74226851   56757.75232638
   56757.77100694   56757.78769675
   56757.79021990   56757.79724537
   56757.79787037   56758.13121527
   56758.13185185   56758.46519675
   56783.58172453   56783.91506944
   56783.91575231   56784.24908564
   56784.25313657   56784.58646990
   56784.58717592   56784.92052083
   56784.92125000   56785.25459490
   56785.25528935   56785.58862268
   56785.58932870   56785.92266203
   56785.92337962   56786.25673611
   56786.25744212   56786.59078703
   56786.59149305   56786.92483699
   56786.92554398   56787.25888888
   56787.25958333   56787.59291666
   56787.59365740   56787.92700231
   56787.92771990   56788.26105324
   56788.26175925   56788.59511574
   56788.59577546   56788.92910879
   56788.92984953   56789.26318287
   56789.26391203   56789.59725694
   56789.60130787   56789.93466435
   56789.93537037   56790.26871527
   56790.26943287   56790.60276620
   56790.60349537   56790.70314814
   56790.70651620   56791.03984953
   56791.04049768   56791.37384259
   56791.37452546   56791.70785879
   56791.70853009   56791.95078703
   56791.96418981   56792.07218750
   56792.07395833   56792.40729166
   56792.40791666   56792.74125000
   56792.74530092   56793.07865740
   56793.07934027   56793.41268518
   56793.41337962   56793.74671296
   56793.74740740   56794.08075231
   56794.08145833   56794.29739583
   56794.30546296   56794.50593749
   56794.50706018   56794.84040509
   56794.84106481   56795.12687500
   56795.12805555   56795.18521990
   56795.18658564   56795.24234953
   56795.24366898   56795.25105324
   56795.25168981   56795.58503472
   56795.58569444   56795.91902777
   56795.91971064   56796.25305555
   56796.25374999   56796.58709490
   56796.58776620   56796.92111111
   56796.92179398   56797.25513888
   56797.25586805   56797.58920138
   56797.58988425   56797.92321759
   56797.92390046   56798.25723379
   56798.25790509   56798.59123842
   56798.59192129   56798.92525462
   56798.92592592   56799.25925925
   56799.26003472   56799.39613425
   56799.39680555   56799.73013888
   56799.73254629   56800.06589120
   56800.06657407   56800.39990740
   56800.40063657   56800.73396990
   56800.73465277   56801.06798611
   56801.06868055   56801.40202546
   56801.40270833   56801.73605324
   56801.73677083   56802.07011574
   56802.07078703   56802.40413194
   56802.40481481   56802.73814814
   56802.73884259   56803.07218750
   56803.07623842   56803.08328703
   56803.08789351   56803.42122685
   56803.42530092   56803.75864583
   56803.75931712   56804.09265046
   56804.09335648   56804.42672453
   56804.42743055   56804.53962962
   56804.54281249   56804.62378472
   56804.62690972   56804.84743055
   56804.84967592   56804.85726851
   56804.86626157   56804.87326388
   56804.87456018   56804.93923611
   56804.94160879   56804.95127314
   56804.95305555   56804.96013888
   56804.96156249   56805.29489583
   56805.29586805   56805.62921296
   56805.62990740   56805.96324074
   56805.96391203   56806.29724537
   56806.29799768   56806.63133101
   56806.63202546   56806.96535879
   56806.96606481   56807.29940972
   56807.30015046   56807.63349537
   56807.63417824   56807.86618055
   56807.87314814   56808.20648148
   56808.21055555   56808.26627314
   56808.26695601   56808.60028935
   56808.60099537   56808.93432870
   56808.93504629   56809.26837962
   56809.26909722   56809.60243055
   56809.60318287   56809.93652777
   56809.95075231   56810.28408564
   56810.28503472   56810.61836805
   56810.61905092   56810.95239583
   56810.95307870   56811.28641203
   56811.28711805   56811.62045138
   56811.62115740   56811.87291666
   56811.87504629   56812.20839120
   56812.20909722   56812.54243055
   56812.54313657   56812.87646990
   56812.87717592   56813.00616898
   56813.00839120   56813.06410879
   56813.06482638   56813.39815972
   56813.39890046   56813.73223379
   56813.73292824   56814.06626157
   56814.06697916   56814.40031250
   56814.40100694   56814.73435185
   56814.73504629   56815.06837962
   56815.06906249   56815.40240740
   56815.40320601   56815.73653935
   56815.73724537   56816.07059027
   56816.07127314   56816.28028935
   56816.28150462   56816.29173611
   56816.29284722   56816.62618055
   56816.62684027   56816.96018518
   56816.96424768   56816.97141203
   56816.97203703   56817.30538194
   56817.30607638   56817.63940972
   56817.64009259   56817.97342592
   56817.97409722   56818.30744212
   56818.30811342   56818.64145833
   56818.72413194   56819.05746527
   56819.05817129   56819.39151620
   56819.39222222   56819.72555555
   56819.72624999   56819.83824074
   56819.85152777   56819.90030092
   56819.90156249   56820.23489583
   56820.23562500   56820.56896990
   56820.56964120   56820.90298611
   56820.90365740   56821.23699074
   56821.23778935   56821.57113425
   56821.57179398   56821.90513888
   56821.90577546   56822.23912037
   56822.23980324   56822.57314814
   56822.57379629   56822.90714120
   56822.90783564   56823.06462962
   56823.06576388   56823.12314814
   56823.12422453   56823.18031249
   56823.18141203   56823.51475694
   56823.51539351   56823.84872685
   56823.84937499   56824.18270833
   56824.18335648   56824.51668981
   56824.51736111   56824.59686342
   56824.59895833   56824.93231481
   56824.93299768   56824.98043981
   56824.98216435   56825.31550925
   56825.31623842   56825.64958333
   56825.65028935   56825.98362268
   56825.98432870   56826.31766203
   56826.31844907   56826.65178240
   56826.65251157   56826.67574074
   56826.67688657   56826.95032407
   56826.95150462   56826.95855324
   56826.95913194   56827.29247685
   56827.29310185   56827.62643518
   56827.62701388   56827.96034722
   56827.98358796   56828.23813657
   56828.24328703   56828.25526620
   56828.26295138   56828.26993055
   56828.27079861   56828.31406249
   56828.31506944   56828.64841435
   56828.64906249   56828.98240740
   56828.98305555   56829.06307870
   56829.06501157   56829.07201388
   56829.07326388   56829.40662037
   56829.40724537   56829.74060185
   56829.74122685   56829.77689814
   56829.77886574   56830.11221064
   56830.11293981   56830.44628472
   56830.44771990   56830.78107638
   56830.78175925   56831.11511574
   56831.11571759   56831.23673611
   56831.24586805   56831.30952546
   56831.31096064   56831.64430555
   56831.64493055   56831.88511574
   56831.89677083   56831.98690972
   56831.99035879   56832.32370370
   56832.32434027   56832.65768518
   56832.65829861   56832.68314814
   56832.69372685   56832.74843750
   56832.74986111   56833.08320601
   56833.08379629   56833.09077546
   56833.09180555   56833.09878472
   56833.09990740   56833.43325231
   56833.43417824   56833.76751157
   56833.76815972   56834.10150462
   56834.10215277   56834.18188657
   56834.18258101   56834.32346064
   56834.32553240   56834.65887731
