#  MJD_start[days]  MJD_stop[days]
   57528.86807870   57529.20104166
   57529.20104166   57529.53452546
   57529.53452546   57529.86795138
   57529.86795138   57530.20137731
   57530.20209490   57530.53502314
   57530.53502314   57530.86844907
   57530.86844907   57531.20189814
   57531.20189814   57531.53531249
   57531.53605324   57531.86874999
   57531.86874999   57532.20214120
   57532.20214120   57532.53555555
   57532.53555555   57532.86863425
   57532.86989583   57533.20277777
   57533.20277777   57533.53627314
   57533.53627314   57533.55299768
   57533.55425925   57533.88699074
   57533.88699074   57534.22045138
   57534.22045138   57534.55383101
   57534.55383101   57534.88725694
   57534.89209490   57535.22511574
   57535.22511574   57535.55856481
   57535.55856481   57535.89196759
   57535.89196759   57536.22539351
   57536.22613425   57536.55910879
   57536.55910879   57536.89259259
   57536.89259259   57537.08021990
   57537.08094907   57537.08791666
   57537.08861111   57537.42155092
   57537.42155092   57537.75497685
   57537.75497685   57538.08839120
   57538.08839120   57538.42181712
   57538.42260416   57538.75550925
   57538.75550925   57539.08893518
   57539.08893518   57539.42234953
   57539.42234953   57539.75577546
   57539.75657407   57540.08947916
   57540.08947916   57540.36942129
   57540.37027777   57540.70320601
   57540.70320601   57540.74016203
   57540.74134259   57540.74979166
   57540.75100694   57541.08370370
   57541.08370370   57541.41712962
   57541.41712962   57541.75052083
   57541.75052083   57542.08394675
   57542.08459490   57542.41752314
   57542.41752314   57542.75091435
   57542.75091435   57543.08432870
   57543.08432870   57543.41775462
   57543.41853009   57543.75145833
   57543.75145833   57544.08491898
   57544.08491898   57544.41837962
   57544.41837962   57544.75181712
   57544.75255787   57544.95997685
   57544.96623842   57544.97842592
   57544.98040509   57545.31331018
   57545.31331018   57545.64675925
   57545.64747685   57545.81509259
   57545.81577546   57546.14875000
   57546.14875000   57546.48223379
   57546.48223379   57546.81568287
   57546.81568287   57547.14909722
   57547.14971064   57547.31937499
   57547.31997685   57547.33714120
   57547.33956018   57547.34663194
   57547.34773148   57547.40237268
   57547.40362268   57547.45895833
   57547.46263888   57547.46961805
   57547.47062500   57547.80329861
   57547.80393518   57548.13693287
   57548.13693287   57548.47032407
   57548.47032407   57548.80372685
   57548.80372685   57549.13714120
   57549.13789351   57549.47079861
   57549.47079861   57549.80420138
   57549.80420138   57550.13761574
   57550.13761574   57550.47103009
   57550.47175925   57550.80471064
   57550.80471064   57551.11974537
   57551.12606481   57551.45871527
   57551.45871527   57551.79211805
   57551.79211805   57552.12553240
   57552.12553240   57552.45895833
   57552.45965277   57552.72273148
   57552.75376157   57552.76409722
   57552.76518518   57553.09802083
   57553.09870370   57553.42777777
   57553.43833333   57553.44532407
   57553.44633101   57553.77922453
   57553.77987268   57554.11281249
   57554.11281249   57554.44621527
   57554.44621527   57554.77960648
   57554.77960648   57555.11302083
   57555.11372685   57555.44665509
   57555.44665509   57555.46978009
   57555.49604166   57555.50315972
   57555.50625000   57555.51324074
   57555.51398148   57555.53231481
   57555.53436342   57555.54134259
   57555.57828703   57555.59083333
   57555.59182870   57555.61884259
   57555.61953703   57555.84645833
   57555.84773148   57556.18045138
   57556.18045138   57556.51385416
   57556.51385416   57556.84725694
   57556.84725694   57557.18067129
   57557.18138888   57557.51432870
   57557.51432870   57557.84771990
   57557.84771990   57558.18112268
   57558.18112268   57558.51428240
   57558.51506944   57558.84804398
   57558.84804398   57559.18146990
   57559.18146990   57559.51487268
   57559.51487268   57559.84828703
   57559.84899305   57560.18193287
   57560.18193287   57560.51531249
   57560.51531249   57560.59717592
   57560.60351851   57560.62239583
   57560.62351851   57560.95642361
   57560.95719907   57561.28996527
   57561.28996527   57561.62336805
   57561.62336805   57561.95678240
   57561.95678240   57562.28975694
   57562.29090277   57562.62380787
   57562.62380787   57562.95722222
   57562.95722222   57563.29062499
   57563.29062499   57563.62405092
   57563.62469907   57563.95763888
   57563.95763888   57564.04781250
   57564.05109953   57564.09479166
   57564.09585648   57564.42871527
   57564.42871527   57564.76210648
   57564.76277777   57565.09570601
   57565.09570601   57565.42912037
   57565.42912037   57565.76252314
   57565.76252314   57566.09593749
   57566.09663194   57566.42953703
   57566.42953703   57566.76295138
   57566.76295138   57567.09635416
   57567.09635416   57567.42976851
   57567.43040509   57567.76337962
   57567.76337962   57568.09679398
   57568.09679398   57568.43021990
   57568.43021990   57568.54498842
   57568.54565972   57568.58511574
   57568.58620370   57568.91907407
   57568.91978009   57569.25270833
   57569.25270833   57569.58618055
   57569.58618055   57569.91962962
   57569.91962962   57570.25307870
   57570.25387731   57570.58652777
