#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             2.00          2.20        -90.00        -73.74          0.00
             2.20          2.40        -90.00        -73.74          0.00
             2.40          2.60        -90.00        -73.74          0.00
             2.60          2.80        -90.00        -73.74          0.00
             2.80          3.00        -90.00        -73.74          0.00
             3.00          3.20        -90.00        -73.74          0.00
             3.20          3.40        -90.00        -73.74          0.00
             3.40          3.60        -90.00        -73.74          0.00
             3.60          3.80        -90.00        -73.74          0.00
             3.80          4.00        -90.00        -73.74          0.00
             4.00          4.20        -90.00        -73.74        146.23
             4.20          4.40        -90.00        -73.74        367.55
             4.40          4.60        -90.00        -73.74       1318.99
             4.60          4.80        -90.00        -73.74       3159.38
             4.80          5.00        -90.00        -73.74       8738.07
             5.00          5.20        -90.00        -73.74      17928.62
             5.20          5.40        -90.00        -73.74      40195.08
             5.40          5.60        -90.00        -73.74     103837.73
             5.60          5.80        -90.00        -73.74     223755.24
             5.80          6.00        -90.00        -73.74     385458.29
             6.00          6.20        -90.00        -73.74     613964.72
             6.20          6.40        -90.00        -73.74     888580.20
             6.40          6.60        -90.00        -73.74    1227279.41
             6.60          6.80        -90.00        -73.74    1620368.25
             6.80          7.00        -90.00        -73.74    2045616.62
             7.00          7.20        -90.00        -73.74    2477776.55
             7.20          7.40        -90.00        -73.74    3063150.87
             7.40          7.60        -90.00        -73.74    3676421.79
             7.60          7.80        -90.00        -73.74    4555238.29
             7.80          8.00        -90.00        -73.74    5245965.75
             8.00          8.20        -90.00        -73.74    6347071.45
             8.20          8.40        -90.00        -73.74    7264356.17
             8.40          8.60        -90.00        -73.74    8653266.31
             8.60          8.80        -90.00        -73.74   10320975.23
             8.80          9.00        -90.00        -73.74   12496505.36
             9.00          9.20        -90.00        -73.74          0.00
             9.20          9.40        -90.00        -73.74          0.00
             9.40          9.60        -90.00        -73.74          0.00
             9.60          9.80        -90.00        -73.74          0.00
             9.80         10.00        -90.00        -73.74          0.00
             2.00          2.20        -73.74        -66.93          0.00
             2.20          2.40        -73.74        -66.93          0.00
             2.40          2.60        -73.74        -66.93          0.00
             2.60          2.80        -73.74        -66.93          0.00
             2.80          3.00        -73.74        -66.93          0.00
             3.00          3.20        -73.74        -66.93          0.00
             3.20          3.40        -73.74        -66.93          0.00
             3.40          3.60        -73.74        -66.93          0.00
             3.60          3.80        -73.74        -66.93          0.00
             3.80          4.00        -73.74        -66.93          0.00
             4.00          4.20        -73.74        -66.93          0.00
             4.20          4.40        -73.74        -66.93        131.46
             4.40          4.60        -73.74        -66.93        554.56
             4.60          4.80        -73.74        -66.93       1884.15
             4.80          5.00        -73.74        -66.93       4401.14
             5.00          5.20        -73.74        -66.93      10755.05
             5.20          5.40        -73.74        -66.93      28456.19
             5.40          5.60        -73.74        -66.93      76733.25
             5.60          5.80        -73.74        -66.93     198406.57
             5.80          6.00        -73.74        -66.93     404452.49
             6.00          6.20        -73.74        -66.93     651655.96
             6.20          6.40        -73.74        -66.93    1013698.55
             6.40          6.60        -73.74        -66.93    1355030.09
             6.60          6.80        -73.74        -66.93    1728945.60
             6.80          7.00        -73.74        -66.93    2168908.60
             7.00          7.20        -73.74        -66.93    2706981.96
             7.20          7.40        -73.74        -66.93    3298814.15
             7.40          7.60        -73.74        -66.93    3953799.07
             7.60          7.80        -73.74        -66.93    4848455.07
             7.80          8.00        -73.74        -66.93    5522447.77
             8.00          8.20        -73.74        -66.93    6790616.37
             8.20          8.40        -73.74        -66.93    7513246.48
             8.40          8.60        -73.74        -66.93    9118059.61
             8.60          8.80        -73.74        -66.93   10550900.13
             8.80          9.00        -73.74        -66.93   12537642.81
             9.00          9.20        -73.74        -66.93          0.00
             9.20          9.40        -73.74        -66.93          0.00
             9.40          9.60        -73.74        -66.93          0.00
             9.60          9.80        -73.74        -66.93          0.00
             9.80         10.00        -73.74        -66.93          0.00
             2.00          2.20        -66.93        -61.64          0.00
             2.20          2.40        -66.93        -61.64          0.00
             2.40          2.60        -66.93        -61.64          0.00
             2.60          2.80        -66.93        -61.64          0.00
             2.80          3.00        -66.93        -61.64          0.00
             3.00          3.20        -66.93        -61.64          0.00
             3.20          3.40        -66.93        -61.64          0.00
             3.40          3.60        -66.93        -61.64          0.00
             3.60          3.80        -66.93        -61.64          0.00
             3.80          4.00        -66.93        -61.64          0.00
             4.00          4.20        -66.93        -61.64         21.44
             4.20          4.40        -66.93        -61.64        265.82
             4.40          4.60        -66.93        -61.64        214.90
             4.60          4.80        -66.93        -61.64       1693.11
             4.80          5.00        -66.93        -61.64       3215.31
             5.00          5.20        -66.93        -61.64       6235.42
             5.20          5.40        -66.93        -61.64      18828.25
             5.40          5.60        -66.93        -61.64      58488.85
             5.60          5.80        -66.93        -61.64     192461.28
             5.80          6.00        -66.93        -61.64     407396.32
             6.00          6.20        -66.93        -61.64     684365.26
             6.20          6.40        -66.93        -61.64    1042764.28
             6.40          6.60        -66.93        -61.64    1396642.55
