#  MJD_start[days]  MJD_stop[days]
   56400.49052083   56400.82388888
   56400.82482638   56401.15819444
   56401.15913194   56401.49250000
   56414.42805555   56414.45554398
   56414.46837962   56414.80173611
   56414.80274305   56415.13611111
   56415.13707175   56415.15377314
   56415.15501157   56415.48837962
   56415.48936342   56415.82273148
   56415.82421296   56416.15761574
   56416.15873842   56416.49210648
   56416.49313657   56416.82650462
   56416.82754629   56417.16092592
   56417.16190972   56417.49527777
   56417.49634259   56417.82969907
   56417.83878472   56417.87284722
   56417.87864583   56417.92018518
   56417.92237268   56418.25574074
   56418.25668981   56418.59005787
   56418.59103009   56418.92439814
   56418.92540509   56419.25877314
   56419.25979166   56419.59315972
   56419.59414351   56419.92751157
   56419.92855324   56420.26190972
   56420.26293981   56420.36546296
   56420.37939814   56420.42097222
   56420.42297453   56420.75634259
   56420.75738425   56421.09076388
   56421.09175925   56421.42512731
   56421.43454861   56421.76857638
   56421.76974537   56422.10311342
   56422.10445601   56422.40376157
   56422.41190972   56422.45304398
   56422.45506944   56422.78840277
   56422.78945601   56423.12282407
   56423.12306712   56423.45722222
   56423.45822916   56423.79159722
   56423.79256944   56424.12593750
   56424.12701388   56424.46038194
   56424.46138888   56424.79476851
   56424.79577546   56425.12914351
   56425.13026620   56425.46363425
   56425.47021990   56425.80358796
   56425.80631944   56425.86737268
   56425.86915509   56425.92657407
   56425.92815972   56426.26152777
   56426.26259259   56426.59596064
   56426.59694444   56426.93031249
   56426.93134259   56427.26471064
   56427.26497685   56427.59916666
   56427.60020833   56427.93357638
   56427.93471064   56428.26806712
   56428.26902777   56428.60236111
   56428.60336805   56428.93673611
   56428.93770833   56429.27108796
   56429.27207175   56429.60543981
   56429.60652777   56429.93989583
   56429.94079861   56430.27416666
   56430.27526620   56430.60864583
   56430.60962962   56430.94299768
   56430.94396990   56431.27733796
   56431.27837962   56431.61173611
   56431.62011574   56431.95347222
   56431.95442129   56432.28778935
   56432.28878472   56432.62215277
   56432.62329861   56432.95665509
   56432.95766203   56433.29101851
   56433.29199074   56433.42731481
   56433.42912037   56433.64932870
   56433.65348379   56433.67087962
   56433.67483796   56434.00817129
   56434.00915509   56434.34251157
   56434.34355324   56434.67692129
   56434.67784722   56434.98714120
   56435.07247685   56435.08658564
   56435.09866898   56435.14378472
   56435.14865740   56435.17387731
   56435.17590277   56435.19218749
   56435.19570601   56435.47412037
   56435.47592592   56435.61432870
   56435.61672453   56435.87209490
   56435.87372685   56435.92086805
   56435.92246527   56436.25583333
   56436.25680555   56436.59017361
   56436.59131944   56436.92469907
   56437.00938657   56437.09318287
   56437.09405092   56437.22225694
   56437.23491898   56437.56828703
   56437.56930555   56437.90266203
   56437.90363425   56438.23700231
   56438.23799768   56438.57136574
   56438.57226851   56438.90562500
   56438.90659722   56438.93127314
   56438.94346064   56438.97460648
   56438.97637731   56439.30973379
   56439.31067129   56439.39750000
   56439.40069444   56439.41231481
   56439.41528935   56439.74865740
   56439.74959490   56440.08296296
   56440.08319444   56440.41724537
   56440.41817129   56440.75153935
   56440.75259259   56440.96218750
   56440.97135416   56441.07278935
   56441.07458333   56441.40795138
   56441.40887731   56441.74224537
   56441.74317129   56442.07652777
   56442.07746527   56442.41084490
   56442.41177083   56442.74513888
   56442.74600694   56443.07937500
   56443.08032407   56443.41369212
   56443.41476851   56443.74812499
   56443.74909722   56444.08246527
   56444.15097222   56444.48434027
   56444.48527777   56444.70304398
   56444.72174768   56445.05511574
   56445.05614583   56445.38951388
   56445.39045138   56445.72380787
   56445.72473379   56446.05810185
   56446.05915509   56446.39252314
   56446.39346064   56446.72681712
   56446.72781250   56447.06118055
   56447.06217592   56447.39554398
   56447.39648148   56447.72984953
   56447.73085648   56447.77688657
   56447.77984953   56448.11321759
   56448.11422453   56448.44759259
   56448.44855324   56448.78192129
   56448.78296296   56449.11633101
   56449.11729166   56449.12958333
   56449.13601851   56449.14409722
   56449.15146990   56449.16712962
   56449.17249999   56449.18211805
   56449.19943287   56449.53280092
   56449.53377314   56449.86714120
   56449.86804398   56450.20141203
   56450.20412037   56450.29253472
   56450.29774305   56450.38656249
   56450.38861111   56450.72197916
   56450.72291666   56451.05628472
   56451.05718750   56451.17693287
   56451.19929398   56451.53265046
   56451.53357638   56451.86693287
   56451.86784722   56452.20122491
   56452.20214120   56452.53550925
   56452.53648148   56452.86983796
   56452.87076388   56453.20413194
   56453.20506944   56453.53842592
   56453.53961805   56453.87298611
   56453.87407407   56454.15753472
   56454.20581018   56454.53917824
   56454.54008101   56454.87344907
   56454.87437500   56455.20774305
   56455.20866898   56455.54203703
   56455.54298611   56455.87635416
   56455.87731481   56456.21067129
   56456.21163194   56456.54499999
   56456.54589120   56456.87925925
   56456.88021990   56457.21358796
   56457.21453703   56457.39542824
   56457.40505787   56457.43043981
   56457.43248842   56457.44744212
   56457.45138888   56457.50266203
   56457.50350694   56457.54136574
   56457.54952546   56457.57925925
   56457.58684027   56457.69077546
   56457.69281250   56458.02616898
   56458.02712962   56458.36048611
   56458.36145833   56458.69482638
   56458.69585648   56459.02921296
   56459.03018518   56459.36355324
   56459.36452546   56459.69789351
   56459.69884259   56460.03221064
   56460.03321759   56460.20228009
   56460.20495370   56460.31314814
   56460.31505787   56460.64843750
   56460.64938657   56460.98276620
   56460.98369212   56461.31706018
   56461.31797453   56461.65133101
   56461.65222222   56461.98559027
   56461.98651620   56462.31988425
   56462.32083333   56462.65421296
   56462.65527777   56462.98864583
   56462.98958333   56463.32295138
