#  MJD_start[days]  MJD_stop[days]
   57136.07100694   57136.40435185
   57136.40435185   57136.73773148
   57136.73773148   57137.07109953
   57160.04440972   57160.37774305
   57160.37774305   57160.71112268
   57160.71112268   57161.04450231
   57161.04450231   57161.10782407
   57161.11335648   57161.12127314
   57161.12327546   57161.45662037
   57161.45662037   57161.79001157
   57161.79001157   57162.12339120
   57162.12339120   57162.45679398
   57162.45762731   57162.79097222
   57162.79097222   57163.12434027
   57163.12434027   57163.45770833
   57163.45770833   57163.79109953
   57163.79185185   57164.12520833
   57164.12520833   57164.45857638
   57164.45857638   57164.79196759
   57164.79196759   57165.12535879
   57165.12596064   57165.45929398
   57165.45929398   57165.79267361
   57165.79267361   57166.12605324
   57166.12605324   57166.45944444
   57166.46001157   57166.79335648
   57166.79335648   57167.12672453
   57167.12672453   57167.46009259
   57167.46009259   57167.79349537
   57167.79438657   57168.12773148
   57168.12773148   57168.46109953
   57168.46109953   57168.79446759
   57168.79446759   57169.12785879
   57169.12847222   57169.46182870
   57169.46182870   57169.79519675
   57169.79519675   57170.12857638
   57170.12857638   57170.46195601
   57170.46258101   57170.79592592
   57170.79592592   57171.12930555
   57171.12930555   57171.46267361
   57171.46267361   57171.79607638
   57171.79664351   57172.12999999
   57172.12999999   57172.46336805
   57172.46336805   57172.79674768
   57172.79674768   57173.13013888
   57173.13072916   57173.46407407
   57173.46407407   57173.79746527
   57173.79746527   57174.13084490
   57174.13084490   57174.46423611
   57174.46487268   57174.79820601
   57174.79820601   57175.13158564
   57175.13158564   57175.46497685
   57175.46497685   57175.71994212
   57175.72415509   57175.74989583
   57175.75112268   57175.97187499
   57175.98347222   57176.01483796
   57176.01607638   57176.34942129
   57176.34942129   57176.68280092
   57176.68280092   57177.01616898
   57177.01616898   57177.34956018
   57177.35021990   57177.68357638
   57177.68357638   57178.01695601
   57178.01695601   57178.35033564
   57178.35033564   57178.68373842
   57178.68434027   57179.01768518
   57179.01768518   57179.35105324
   57179.35105324   57179.68443287
   57179.68443287   57180.01781249
   57180.01841435   57180.35175925
   57180.35175925   57180.68513888
   57180.68513888   57181.01849537
   57181.01849537   57181.35188657
   57181.35273148   57181.68607638
   57181.68607638   57182.01945601
   57182.01945601   57182.23319444
   57182.23471064   57182.29236111
   57182.29443287   57182.35018518
